,GENDER,AGE_GRP,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_COMPANIONS_NUM,TRAVEL_MISSION_INT,VISIT_AREA_NM,DGSTFN
422,여,40.0,6,2,4,1,7,7,7,2,8,0.0,3,서울역,4.0
425,여,20.0,1,1,1,5,5,2,1,5,2,0.0,3,탭,3.0
426,남,30.0,2,2,2,5,2,1,1,3,1,1.0,8,인천환경공단 송도스포츠파크 캠핑장,5.0
430,남,30.0,1,1,1,5,5,3,6,7,3,5.0,5,해밀펜션,4.0
444,여,20.0,3,1,2,2,3,4,1,3,2,0.0,22,가평 조은마트,4.0
445,여,50.0,1,4,4,1,1,7,1,7,3,2.0,2,배부장찌개 광교법조단지점,5.0
446,남,50.0,6,2,2,4,5,3,3,3,7,0.0,21,부평문화의거리,4.0
447,여,30.0,1,1,1,2,3,2,6,6,7,0.0,3,화성행궁,5.0
449,여,20.0,3,6,5,3,6,4,5,3,2,1.0,2,베스트웨스턴 하버파크호텔,5.0
451,여,20.0,2,1,2,1,2,2,6,7,3,3.0,8,광명역,4.0
452,여,20.0,6,2,2,2,1,1,6,6,1,1.0,26,여의도한강공원,5.0
453,여,40.0,2,1,7,2,1,7,2,6,4,0.0,3,흥인지문.광장시장,4.0
454,남,20.0,3,2,1,7,5,4,2,7,7,0.0,2,아트스페이스J,5.0
455,여,30.0,3,1,3,3,4,4,7,6,1,0.0,3,화성행궁,4.0
456,여,30.0,2,1,2,3,6,7,7,7,9,3.0,9,두물머리연핫도그,5.0
457,여,40.0,1,1,1,3,1,1,4,4,1,7.0,3,흥인지문공원,5.0
461,남,50.0,4,5,6,5,4,5,4,6,7,0.0,1,진약국,4.0
462,여,30.0,4,4,4,4,4,4,4,4,3,5.0,7,카페숨,4.0
463,남,30.0,2,1,2,1,6,1,7,4,5,1.0,21,스타벅스 남이섬점,4.0
466,여,20.0,4,4,3,3,2,4,2,7,6,2.0,23,양재동꽃시장,3.0
470,남,20.0,6,1,1,1,5,6,5,5,4,0.0,6,소바식당 성수점,4.0
475,남,30.0,4,6,4,4,2,2,6,5,3,3.0,24,트리플스트리트,5.0
477,여,40.0,2,6,2,3,2,3,2,6,1,0.0,13,죽산시외버스터미널,3.0
478,남,40.0,3,2,5,4,3,5,3,5,2,1.0,1,이마트 포천점,5.0
479,여,20.0,4,3,2,1,4,2,3,6,5,1.0,6,빠레뜨한남 김포라베니체점,5.0
480,여,50.0,2,4,2,3,4,2,2,6,10,1.0,21,재인폭포,5.0
481,남,20.0,5,2,4,4,4,4,4,4,2,0.0,4,틴틴홀,5.0
487,남,30.0,2,2,3,2,3,2,3,5,1,0.0,28,테라로사 서종점,5.0
488,여,30.0,5,3,2,5,6,6,2,2,7,1.0,9,도원대중사우나,5.0
489,남,20.0,6,1,3,2,1,6,2,7,3,1.0,1,인천도시역사관,5.0
490,남,20.0,4,2,2,5,2,2,1,6,6,0.0,7,이촌한강공원,4.0
491,여,50.0,5,5,6,2,2,3,2,5,3,1.0,1,고구려짬뽕10101 인천계양점,4.0
493,남,20.0,3,2,2,3,7,5,6,6,3,1.0,23,감성216,5.0
496,남,50.0,2,3,6,3,2,4,2,6,1,0.0,1,광장김밥,3.0
500,남,20.0,4,1,3,2,3,4,6,4,7,1.0,6,마포 걷고싶은길 4코스,5.0
505,남,20.0,7,1,1,7,7,1,3,7,1,0.0,26,챔프커피 2작업실,4.0
508,남,20.0,6,1,4,2,2,4,7,7,4,0.0,1,서울고속버스터미널(경부),3.0
512,여,20.0,1,1,7,1,1,1,7,1,1,0.0,23,목시서울인사동,5.0
513,여,30.0,4,4,3,4,4,3,5,6,1,1.0,23,랑데자뷰 부천점,5.0
514,여,30.0,2,5,1,6,2,6,7,7,1,1.0,22,카페109하우스,4.0
517,여,20.0,4,3,3,4,4,5,5,5,4,0.0,6,반포한강공원 달빛광장,4.0
521,남,60.0,1,4,4,3,1,2,7,3,2,3.0,3,용산역사박물관,5.0
522,남,20.0,7,1,1,1,7,7,1,4,3,1.0,1,AK플라자 AKTown점,5.0
